gene_id	string_protein_id	propagate_score
MYO15A	9606.ENSP00000495481	3.304380047299268e-05
OTOG	9606.ENSP00000382323	6.193371625859155e-06
ADGRV1	9606.ENSP00000384582	1.2966723979792126e-05
GJB2	9606.ENSP00000372295	3.956643773128102e-05
MYO7A	9606.ENSP00000386331	5.377438588031055e-05
USH2A	9606.ENSP00000305941	1.756503254271609e-05
MYO7B	9606.ENSP00000415090	4.452503828233141e-06
CDHR2	9606.ENSP00000424565	4.4894473140062274e-06
VEZT	9606.ENSP00000410083	2.5079942529329766e-05
TMC1	9606.ENSP00000494684	2.195825993356681e-05
PCDH15	9606.ENSP00000363068	1.899169255784926e-05
SERGEF	9606.ENSP00000265965	2.4683725766394866e-06
WHRN	9606.ENSP00000354623	3.0031566145560294e-05
USHBP1	9606.ENSP00000252597	2.8330596613090088e-06
GRXCR1	9606.ENSP00000382670	2.7326177377512908e-05
ESPN	9606.ENSP00000496593	3.621394155191885e-05
CIB2	9606.ENSP00000258930	1.221113079120373e-05
CLRN1	9606.ENSP00000329158	8.878247598865946e-06
LHFPL5	9606.ENSP00000498322	8.613598008571075e-06
PDZD7	9606.ENSP00000480489	1.0434869113378696e-05
SLC4A7	9606.ENSP00000390394	1.0280410742146714e-05
CDH23	9606.ENSP00000224721	3.3586135330487336e-05
CDHR5	9606.ENSP00000380676	8.905268192424161e-06
TMC2	9606.ENSP00000351732	1.1274158356973374e-05
USH1G	9606.ENSP00000480279	1.0603909444622447e-05
ANKS4B	9606.ENSP00000308772	3.663585180723801e-06
ABCC8	9606.ENSP00000494321	5.1992030511648797e-05
RALA	9606.ENSP00000005257	0.00011976278137148455
RALGAPB	9606.ENSP00000262879	1.7501206062514644e-05
FLNB	9606.ENSP00000420213	5.3392883326913005e-05
MAPK9	9606.ENSP00000394560	0.00037411008648336277
EXOC5	9606.ENSP00000484855	4.948960699954341e-05
RHOA	9606.ENSP00000400175	0.0005256986506375988
PLD1	9606.ENSP00000342793	8.03267030827779e-05
RGL3	9606.ENSP00000377075	1.7947974986558478e-05
EXOC8	9606.ENSP00000355605	3.1346140678168856e-05
RASA1	9606.ENSP00000274376	0.0005595018230558843
RALBP1	9606.ENSP00000372924	6.835552255939287e-05
CNKSR2	9606.ENSP00000368824	1.85005830123551e-05
RGL4	9606.ENSP00000290691	5.696185745679522e-06
RABIF	9606.ENSP00000356231	0.00017095630022967125
SYNJ2BP	9606.ENSP00000256366	8.992646071436001e-06
ARF6	9606.ENSP00000298316	0.0006087332296581131
RALGAPA2	9606.ENSP00000202677	1.2640430241653501e-05
EXOC6B	9606.ENSP00000489442	1.4844039975647701e-05
STAT4	9606.ENSP00000351255	0.00020637528087298022
EXOC3	9606.ENSP00000425587	2.8690335105124308e-05
MAPK8	9606.ENSP00000378974	0.0011800451632226901
PPP2R1B	9606.ENSP00000311344	0.0001373827860412777
